strain	virus	assession	date	region	country
MA15__JF292913	Severe acute respiratory syndrome-related coronavirus	JF292913	2008-10-10	north_america	USA
MA15__JF292914	Severe acute respiratory syndrome-related coronavirus	JF292914	2008-10-10	north_america	USA
MA15__JF292915	Severe acute respiratory syndrome-related coronavirus	JF292915	2008-10-10	north_america	USA
MA15__JF292916	Severe acute respiratory syndrome-related coronavirus	JF292916	2008-09-19	north_america	USA
MA15__JF292917	Severe acute respiratory syndrome-related coronavirus	JF292917	2008-09-19	north_america	USA
MA15__JF292918	Severe acute respiratory syndrome-related coronavirus	JF292918	2008-09-19	north_america	USA
MA15__JF292919	Severe acute respiratory syndrome-related coronavirus	JF292919	2008-09-19	north_america	USA
MA15__JF292920	Severe acute respiratory syndrome-related coronavirus	JF292920	2008-09-19	north_america	USA
MA15ExoN1mutant__FJ882942	Severe acute respiratory syndrome-related coronavirus	FJ882942	2008-11-26	north_america	USA
MA15ExoN1mutant__FJ882943	Severe acute respiratory syndrome-related coronavirus	FJ882943	2008-11-21	north_america	USA
MA15ExoN1mutant__FJ882951	Severe acute respiratory syndrome-related coronavirus	FJ882951	2008-11-26	north_america	USA
MA15ExoN1mutant__FJ882953	Severe acute respiratory syndrome-related coronavirus	FJ882953	2008-11-26	north_america	USA
MA15ExoN1mutant__FJ882959	Severe acute respiratory syndrome-related coronavirus	FJ882959	2008-11-26	north_america	USA
MA15ExoN1mutant__FJ882962	Severe acute respiratory syndrome-related coronavirus	FJ882962	2008-12-18	north_america	USA
MA15ExoN1mutant__HQ890526	Severe acute respiratory syndrome-related coronavirus	HQ890526	2008-10-08	north_america	USA
MA15ExoN1mutant__HQ890527	Severe acute respiratory syndrome-related coronavirus	HQ890527	2008-10-08	north_america	USA
MA15ExoN1mutant__HQ890528	Severe acute respiratory syndrome-related coronavirus	HQ890528	2008-10-08	north_america	USA
MA15ExoN1mutant__HQ890529	Severe acute respiratory syndrome-related coronavirus	HQ890529	2008-10-08	north_america	USA
MA15ExoN1mutant__HQ890530	Severe acute respiratory syndrome-related coronavirus	HQ890530	2008-10-08	north_america	USA
MA15ExoN1mutant__HQ890531	Severe acute respiratory syndrome-related coronavirus	HQ890531	2008-10-10	north_america	USA
MA15ExoN1mutant__HQ890532	Severe acute respiratory syndrome-related coronavirus	HQ890532	2008-10-10	north_america	USA
MA15ExoN1mutant__HQ890533	Severe acute respiratory syndrome-related coronavirus	HQ890533	2008-10-10	north_america	USA
MA15ExoN1mutant__HQ890534	Severe acute respiratory syndrome-related coronavirus	HQ890534	2008-09-17	north_america	USA
MA15ExoN1mutant__HQ890535	Severe acute respiratory syndrome-related coronavirus	HQ890535	2008-09-17	north_america	USA
MA15ExoN1mutant__HQ890536	Severe acute respiratory syndrome-related coronavirus	HQ890536	2008-09-17	north_america	USA
MA15ExoN1mutant__HQ890537	Severe acute respiratory syndrome-related coronavirus	HQ890537	2008-09-17	north_america	USA
MA15ExoN1mutant__HQ890538	Severe acute respiratory syndrome-related coronavirus	HQ890538	2008-09-17	north_america	USA
MA15ExoN1mutant__HQ890539	Severe acute respiratory syndrome-related coronavirus	HQ890539	2008-09-18	north_america	USA
MA15ExoN1mutant__HQ890540	Severe acute respiratory syndrome-related coronavirus	HQ890540	2008-09-18	north_america	USA
MA15ExoN1mutant__JF292902	Severe acute respiratory syndrome-related coronavirus	JF292902	2008-10-10	north_america	USA
MA15ExoN1mutant__JF292903	Severe acute respiratory syndrome-related coronavirus	JF292903	2008-10-10	north_america	USA
MA15ExoN1mutant__JF292904	Severe acute respiratory syndrome-related coronavirus	JF292904	2008-09-18	north_america	USA
MA15ExoN1mutant__JF292905	Severe acute respiratory syndrome-related coronavirus	JF292905	2008-09-18	north_america	USA
MA15ExoN1mutant__JF292906	Severe acute respiratory syndrome-related coronavirus	JF292906	2008-09-18	north_america	USA
Rs672__FJ588686	Severe acute respiratory syndrome-related coronavirus	FJ588686	2006-XX-XX	china	China
TC1__AY338174	Severe acute respiratory syndrome-related coronavirus	AY338174	20XX-XX-XX	china	Taiwan
TC2__AY338175	Severe acute respiratory syndrome-related coronavirus	AY338175	20XX-XX-XX	china	Taiwan
TC3__AY348314	Severe acute respiratory syndrome-related coronavirus	AY348314	20XX-XX-XX	china	Taiwan
UNKNOWN-DJ066921__DJ066921	Severe acute respiratory syndrome-related coronavirus	DJ066921	20XX-XX-XX		
Urbani__AY278741	Severe acute respiratory syndrome-related coronavirus	AY278741	20XX-XX-XX		
Urbani__MK062179	Severe acute respiratory syndrome-related coronavirus	MK062179	2017-05-27	north_america	USA
Urbani__MK062180	Severe acute respiratory syndrome-related coronavirus	MK062180	2017-05-28	north_america	USA
Urbani__MK062181	Severe acute respiratory syndrome-related coronavirus	MK062181	2017-05-29	north_america	USA
Urbani__MK062182	Severe acute respiratory syndrome-related coronavirus	MK062182	2017-05-30	north_america	USA
Urbani__MK062183	Severe acute respiratory syndrome-related coronavirus	MK062183	2017-05-31	north_america	USA
Urbani__MK062184	Severe acute respiratory syndrome-related coronavirus	MK062184	2017-06-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.10P20/2010__KF514398	Severe acute respiratory syndrome-related coronavirus	KF514398	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.1P20/2010__KF514399	Severe acute respiratory syndrome-related coronavirus	KF514399	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.2P20/2010__KF514421	Severe acute respiratory syndrome-related coronavirus	KF514421	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.3P20/2010__KF514422	Severe acute respiratory syndrome-related coronavirus	KF514422	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.4P20/2010__KF514392	Severe acute respiratory syndrome-related coronavirus	KF514392	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.5P20/2010__KF514388	Severe acute respiratory syndrome-related coronavirus	KF514388	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.6P20/2010__KF514413	Severe acute respiratory syndrome-related coronavirus	KF514413	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.7P20/2010__KF514415	Severe acute respiratory syndrome-related coronavirus	KF514415	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.8P20/2010__KF514400	Severe acute respiratory syndrome-related coronavirus	KF514400	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1.9P20/2010__KF514404	Severe acute respiratory syndrome-related coronavirus	KF514404	2010-10-01	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1P10/2009__KF514419	Severe acute respiratory syndrome-related coronavirus	KF514419	2009-05-19	north_america	USA
SARS/VeroE6_lab/USA/WTic_c1P20/2009__KF514394	Severe acute respiratory syndrome-related coronavirus	KF514394	2009-07-08	north_america	USA
SARS/VeroE6_lab/USA/WTic_c2P1/2009__KF514408	Severe acute respiratory syndrome-related coronavirus	KF514408	2009-03-18	north_america	USA
SARS/VeroE6_lab/USA/WTic_c2P10/2009__KF514397	Severe acute respiratory syndrome-related coronavirus	KF514397	2009-05-19	north_america	USA
SARS/VeroE6_lab/USA/WTic_c2P20/2009__KF514409	Severe acute respiratory syndrome-related coronavirus	KF514409	2009-07-08	north_america	USA
SARS/VeroE6_lab/USA/WTic_c3P1/2009__KF514418	Severe acute respiratory syndrome-related coronavirus	KF514418	2009-03-18	north_america	USA
SARS/VeroE6_lab/USA/WTic_c3P10/2009__KF514396	Severe acute respiratory syndrome-related coronavirus	KF514396	2009-05-19	north_america	USA
SARS/VeroE6_lab/USA/WTic_c3P20/2009__KF514423	Severe acute respiratory syndrome-related coronavirus	KF514423	2009-07-08	north_america	USA
WTic__JF292921	Severe acute respiratory syndrome-related coronavirus	JF292921	2009-03-18	north_america	USA
wtic-MB__FJ882927	Severe acute respiratory syndrome-related coronavirus	FJ882927	2007-09-26	north_america	USA
wtic-MB__FJ882932	Severe acute respiratory syndrome-related coronavirus	FJ882932	2008-03-28	north_america	USA
wtic-MB__FJ882933	Severe acute respiratory syndrome-related coronavirus	FJ882933	2008-03-28	north_america	USA
wtic-MB__FJ882934	Severe acute respiratory syndrome-related coronavirus	FJ882934	2008-03-28	north_america	USA
wtic-MB__FJ882935	Severe acute respiratory syndrome-related coronavirus	FJ882935	2008-03-28	north_america	USA
wtic-MB__FJ882936	Severe acute respiratory syndrome-related coronavirus	FJ882936	2008-03-28	north_america	USA
wtic-MB__FJ882937	Severe acute respiratory syndrome-related coronavirus	FJ882937	2008-03-28	north_america	USA
wtic-MB__FJ882938	Severe acute respiratory syndrome-related coronavirus	FJ882938	2007-09-22	north_america	USA
wtic-MB__FJ882939	Severe acute respiratory syndrome-related coronavirus	FJ882939	2008-03-28	north_america	USA
wtic-MB__FJ882946	Severe acute respiratory syndrome-related coronavirus	FJ882946	2008-03-28	north_america	USA
wtic-MB__FJ882947	Severe acute respiratory syndrome-related coronavirus	FJ882947	2008-03-28	north_america	USA
wtic-MB__FJ882949	Severe acute respiratory syndrome-related coronavirus	FJ882949	2008-03-28	north_america	USA
BtKY72__KY352407	Severe acute respiratory syndrome-related coronavirus	KY352407	2007-08-XX	africa	Kenya
Tor2__AY274119	Severe acute respiratory syndrome-related coronavirus	AY274119	20XX-XX-XX	north_america	Canada
