strain	virus	assension	date	region	country
359A_2007	seasonal_corona	KM055551	2007-XX-XX	?	china
HCoV_229E/human/GER/629/2010	seasonal_corona	KT253311	2010-XX-XX	?	germany
13MYKL1719	seasonal_corona	KT359767	2013-XX-XX	?	malaysia
452_Yamagata_2008	seasonal_corona	LC005736	2008-XX-XX	?	japan
1518A_2009	seasonal_corona	KM055533	2009-XX-XX	?	china
HCoV_229E/human/GER/1334/2010	seasonal_corona	KT253304	2010-XX-XX	?	germany
12MYKL0667	seasonal_corona	KT359761	2012-XX-XX	?	malaysia
HCoV_229E/human/GHA/83/2008	seasonal_corona	KT253313	2008-XX-XX	?	ghana
HCoV_229E/human/GER/100/2008	seasonal_corona	KT253302	2008-XX-XX	?	germany
HCoV_229E/Seattle/USA/SC9773/2016	seasonal_corona	KY369914	2016-XX-XX	?	usa
13MYKL1950	seasonal_corona	KT359750	2013-XX-XX	?	malaysia
HCoV_229E/human/GER/101/2008	seasonal_corona	KT253303	2008-XX-XX	?	germany
SWE_10652/04	seasonal_corona	FJ235172	2004-02-XX	?	sweden
HCoV_229E/human/GHA/939/2008	seasonal_corona	KT253316	2008-XX-XX	?	ghana
857_2005	seasonal_corona	KM055559	2005-XX-XX	?	china
494A_2008	seasonal_corona	KM055554	2008-XX-XX	?	china
HCoV_229E/BN1/GER/2015	seasonal_corona	KU291448	2015-XX-XX	?	germany
2764A_2011	seasonal_corona	KM055544	2011-XX-XX	?	china
HCoV/229E/N04	seasonal_corona	GU068549	2008-02-21	?	china
HCoV/229E/N02	seasonal_corona	GU068547	2008-01-17	?	china
SWE_bla_gas_110051	seasonal_corona	FJ235178	2006-01-XX	?	sweden
1512A_2009	seasonal_corona	KM055532	2009-XX-XX	?	china
12MYKL1102	seasonal_corona	KT359763	2012-XX-XX	?	malaysia
1546A_2009	seasonal_corona	KM055534	2009-XX-XX	?	china
SWE_36478/05	seasonal_corona	FJ235175	2005-04-XX	?	sweden
N08_434B	seasonal_corona	KY674919	2016-XX-XX	?	usa
229E/human/USA/953_49/1995	seasonal_corona	KF514431	1995-03-23	?	usa
PUMCH6389	seasonal_corona	HM130808	2007-11-20	?	china
507A_2008	seasonal_corona	KM055555	2008-XX-XX	?	china
V349	seasonal_corona	JX503060	2010-XX-XX	?	netherlands
748_2005	seasonal_corona	KM055557	2005-XX-XX	?	china
1761A_2010	seasonal_corona	KM055538	2010-XX-XX	?	china
229E/SLO/15756/2010	seasonal_corona	KX059697	2010-04-06	?	slovenia
HCoV/229E/N01	seasonal_corona	GU068546	2007-12-17	?	china
12MYKL0415	seasonal_corona	KT359759	2012-XX-XX	?	malaysia
HCoV_229E/human/GHA/938/2008	seasonal_corona	KT253315	2008-XX-XX	?	ghana
777_Yamagata_2010	seasonal_corona	LC005739	2010-XX-XX	?	japan
PUMCH8387	seasonal_corona	HM130813	2009-04-20	?	china
13MYKL1883	seasonal_corona	KT359769	2013-XX-XX	?	malaysia
12MYKL0929	seasonal_corona	KT359742	2012-XX-XX	?	malaysia
13MYKL1847	seasonal_corona	KT359768	2013-XX-XX	?	malaysia
HCOV/KENYA/009/2010	seasonal_corona	KP112149	2014-07-01	?	kenya
HCoV_229E/human/NED/21050349/2010	seasonal_corona	KT253323	2010-XX-XX	?	netherlands
12MYKL1076	seasonal_corona	KT359762	2012-XX-XX	?	malaysia
12MYKL0543	seasonal_corona	KT359760	2012-XX-XX	?	malaysia
1829A_2010	seasonal_corona	KM055542	2010-XX-XX	?	china
229E/Haiti_1/2016	seasonal_corona	MF542265	2016-03-XX	?	haiti
TN95_2_39	seasonal_corona	KM077069	?	?	usa
12MYKL0011	seasonal_corona	KT359752	2012-XX-XX	?	malaysia
HCoV/229E/N03	seasonal_corona	GU068548	2008-01-24	?	china
CU_H2869/2011	seasonal_corona	JX513245	2011-01-06	?	thailand
12MYKL0424	seasonal_corona	KT359777	2012-XX-XX	?	malaysia
PUMCH6273	seasonal_corona	HM130806	2007-10-23	?	china
India/Puducherry/JIM_159/2012	seasonal_corona	KX255651	2012-05-XX	?	india
PUMCH748	seasonal_corona	HM130801	2005-09-24	?	china
HCoV_229E/human/GER/499/2010	seasonal_corona	KT253309	2010-XX-XX	?	germany
PUMCH8339	seasonal_corona	HM130810	2009-04-08	?	china
HCoV_229E/Seattle/USA/SC0865/2019	seasonal_corona	MN306046	2019-XX-XX	?	usa
11949_2011	seasonal_corona	KM055531	2011-XX-XX	?	china
HCoV_229E/Seattle/USA/SC399/2016	seasonal_corona	KY674914	2016-XX-XX	?	usa
HCoV_229E/human/HKG/HK_2_26/2002	seasonal_corona	KT253318	2002-XX-XX	?	hong_kong
1990A_2010	seasonal_corona	KM055543	2010-XX-XX	?	china
8373_2009	seasonal_corona	KM055546	2009-XX-XX	?	china
1424A_2009	seasonal_corona	KM055560	2009-XX-XX	?	china
12MYKL1271	seasonal_corona	KT359764	2012-XX-XX	?	malaysia
SWE_37174/06	seasonal_corona	FJ235176	2006-02-XX	?	sweden
India/Pondicherry/POM_309/2014	seasonal_corona	KX268229	2014-02-XX	?	india
PUMCH6375	seasonal_corona	HM130807	2007-11-17	?	china
HCoV_229E/human/HKG/HK_4_27/2006	seasonal_corona	KT253320	2006-XX-XX	?	hong_kong
SH_6	seasonal_corona	KC294432	2012-XX-XX	?	china
882_Yamagata_2010	seasonal_corona	LC005740	2010-XX-XX	?	japan
1782A_2010	seasonal_corona	KM055540	2010-XX-XX	?	china
