strain	virus	assension	date	region	country
CU_586	seasonal_corona	GQ856801	2006-XX-XX	?	hong_kong
NL63/FRA_EPI/Caen/2013/15	seasonal_corona	KY862040	2013-03-20	?	france
ChinaGD08	seasonal_corona	MK342127	2018-07-03	?	china
Kilifi_HH_1602_01_Jun_2010	seasonal_corona	MG428700	2010-06-01	?	kenya
V41645	seasonal_corona	FJ656159	2007-02-XX	?	sweden
12MYKL0863	seasonal_corona	KT359884	2012-XX-XX	?	malaysia
V37214	seasonal_corona	FJ656154	2006-03-XX	?	sweden
12MYKL1528	seasonal_corona	KT359909	2012-XX-XX	?	malaysia
NL63/UF_1/2015	seasonal_corona	KT381875	2015-XX-XX	?	usa
NL63/DEN/2010/35	seasonal_corona	JQ771059	2010-12-14	?	usa
NL63/FRA_EPI/Caen/2013/16	seasonal_corona	KY862039	2013-02-01	?	france
TN87_12_17	seasonal_corona	KM077087	?	?	usa
Kilifi_HH_0512_04_Jun_2010	seasonal_corona	MG428701	2010-06-04	?	kenya
CU_706	seasonal_corona	GQ856808	2006-XX-XX	?	hong_kong
CU_644	seasonal_corona	GQ856805	2006-XX-XX	?	hong_kong
HCoV_NL63/Seattle/USA/SC2940/2015	seasonal_corona	KY983586	2015-XX-XX	?	usa
HCOV/KENYA/005/2009	seasonal_corona	KP112154	2014-07-01	?	kenya
Kilifi/IP/021/26_May_2013	seasonal_corona	MG356444	2013-05-26	?	kenya
V110123	seasonal_corona	FJ656172	2007-03-XX	?	sweden
Kilifi/IP/002/14_May_2010	seasonal_corona	MG356415	2010-05-14	?	kenya
NL63/FRA_EPI/Caen/2015/20	seasonal_corona	KY862035	2015-02-15	?	france
HCOV/KENYA/004/2012	seasonal_corona	KP112157	2014-07-01	?	kenya
CU_572	seasonal_corona	GQ856799	2006-XX-XX	?	hong_kong
CU_H2004/2010	seasonal_corona	JX513254	2010-06-17	?	thailand
1093A_2008	seasonal_corona	KM055635	2008-XX-XX	?	china
N07_185B	seasonal_corona	KY554968	2016-XX-XX	?	usa
Kilifi/HH/0511/01_Jun_2010	seasonal_corona	MG356424	2010-06-01	?	kenya
INMI5	seasonal_corona	EU125190	?	?	italy
Kilifi/IP/005/09_Aug_2010	seasonal_corona	MG356428	2010-08-09	?	kenya
ChinaGD06	seasonal_corona	MK342125	2018-08-01	?	china
CU_743	seasonal_corona	GQ856809	2006-XX-XX	?	hong_kong
Kilifi/HH/5709/19_May_2010	seasonal_corona	MG356418	2010-05-19	?	kenya
hCoV/NL63/VFC10/BRA/2006	seasonal_corona	JN251784	2006-XX-XX	?	brazil
TN90_1_24	seasonal_corona	KM077085	?	?	usa
12MYKL1336	seasonal_corona	KT359906	2012-XX-XX	?	malaysia
12MYKL0750	seasonal_corona	KT359877	2012-XX-XX	?	malaysia
12MYKL0903	seasonal_corona	KT359887	2012-XX-XX	?	malaysia
12MYKL0813	seasonal_corona	KT359882	2012-XX-XX	?	malaysia
NL63/DEN/2005/1062	seasonal_corona	JQ765573	2005-04-12	?	usa
12MYKL0630	seasonal_corona	KT359831	2012-XX-XX	?	malaysia
996A_2008	seasonal_corona	KM055649	2008-XX-XX	?	china
TN89_1_4	seasonal_corona	KM077082	?	?	usa
12MYKL0967	seasonal_corona	KT359890	2012-XX-XX	?	malaysia
Kilifi/IP/007/30_Mar_2011	seasonal_corona	MG356430	2011-03-30	?	kenya
Kilifi/IP/019/04_May_2013	seasonal_corona	MG356442	2013-05-04	?	kenya
NL63/FRA_EPI/Caen/2005/03	seasonal_corona	KY862052	2005-01-24	?	france
HCoV/NL63/N03	seasonal_corona	GU068570	2007-05-21	?	china
NL63/FRA_EPI/Caen/2011/11	seasonal_corona	KY862044	2011-02-21	?	france
ChinaGD02	seasonal_corona	MK334043	2018-08-15	?	china
945A_2008	seasonal_corona	KM055637	2008-XX-XX	?	china
hCoV/NL63/VFC19/BRA/2006	seasonal_corona	JN251786	2006-XX-XX	?	brazil
INMI3	seasonal_corona	EU125188	?	?	italy
CU_X091	seasonal_corona	GQ856814	2005-XX-XX	?	hong_kong
13MYKL1791	seasonal_corona	KT359910	2013-XX-XX	?	malaysia
TN90_3_28	seasonal_corona	KM077081	?	?	usa
Athens.GR/255/07	seasonal_corona	KX866390	2007-03-03	?	greece
N07_262B	seasonal_corona	KY829118	2015-XX-XX	?	usa
