strain	virus	assention	date	region	country
A/duck/Minnesota/1525/1981	avian_flu	CY014726	1981-10-17	north_america	usa
A/mallard/Wisconsin/568/1982	avian_flu	CY179411	1982-XX-XX	north_america	usa
A/turkey/Ontario/84/1983	avian_flu	EU871820	1983-01-XX	north_america	canada
A/turkey/England/50_92/1991	avian_flu	EU636692	1991-XX-XX	europe	united_kingdom
A/Goose/Guangdong/1/1996	avian_flu	AF144305	1996-XX-XX	china	china
A/goose/Guangdong/3/1997	avian_flu	AF364334	1997-XX-XX	china	china
A/Swine/Fujian/F1/2001	avian_flu	AY747617	2001-XX-XX	china	china
A/goose/Guangdong/xb/2001	avian_flu	DQ997522	2001-XX-XX	china	china
A/openbill_stork/Thailand/VSMU_4_NSN/2004	avian_flu	HM627913	2004-02-05	southeast_asia	thailand
A/Guangxi/1/2005	avian_flu	DQ371930	2005-11-23	china	china
A/chicken/Vietnam/NCVD11/2005	avian_flu	CY036719	2005-XX-XX	southeast_asia	vietnam
A/open_billed_stork/Nakhonsawan/BBA3011M/2005	avian_flu	DQ990003	2005-XX-XX	southeast_asia	thailand
A/environment/Hunan/1_8/2007	avian_flu	GU182214	2007-03-XX	china	china
A/chicken/Egypt/CL6/2007	avian_flu	AB465592	2007-03-XX	africa	egypt
A/environment/Hunan/1_35/2007	avian_flu	GU182222	2007-03-XX	china	china
A/duck/SocTrang/07_25/2007	avian_flu	GU050357	2007-XX-XX	southeast_asia	vietnam
A/chicken/Egypt/083/2008	avian_flu	CY044032	2008-01-02	africa	egypt
A/chicken/Egypt/0813_NLQP/2008	avian_flu	KR732574	2008-01-04	africa	egypt
A/environment/Guizhou/4/2009	avian_flu	CY098806	2009-01-16	china	china
A/water/Xinjiang/3/2009	avian_flu	CY098830	2009-01-16	china	china
A/environment/Guizhou/9/2009	avian_flu	CY098822	2009-01-16	china	china
A/quail/Vietnam/CVVI_49/2010	avian_flu	KP872890	2010-01-10	southeast_asia	vietnam
A/Vietnam/UT36250_1/2010	avian_flu	KP638510	2010-03-05	southeast_asia	vietnam
A/duck/Lao/6/2010	avian_flu	CY098309	2010-03-XX	southeast_asia	laos
A/wild_duck/Fujian/2/2011	avian_flu	JX534597	2011-03-11	china	china
A/peregrine_falcon/Aomori/7/2011	avian_flu	AB629713	2011-03-15	japan_korea	japan
A/chicken/Chiba/1/2011	avian_flu	AB684261	2011-03-XX	japan_korea	japan
A/muscovy_duck/Vietnam/LBM335/2013	avian_flu	AB828097	2013-01-07	southeast_asia	vietnam
A/chicken/Vietnam/NCVD_KA423/2013	avian_flu	KP097915	2013-01-09	southeast_asia	vietnam
A/duck/Vietnam/NCVD_2745/2013	avian_flu	KY171470	2013-01-10	southeast_asia	vietnam
A/chicken/Vietnam/NCVD14_A459/2014	avian_flu	KY171151	2014-02-17	southeast_asia	vietnam
A/duck/Egypt/17EG_BS1/2017	avian_flu	MF768890	2017-03-18	africa	egypt
A/duck/Bangladesh/34752/2018	avian_flu	MH791817	2018-01-24	south_asia	bangladesh
