strain	virus	assention	date	region	country
HCoV_OC43/Yamagata.JPN/03.2015_0128	seasonal_corona	LC506850	2015-01-XX	?	japan
OC43/SLO/62706/2016	seasonal_corona	KX059633	2016-02-04	?	slovenia
HCoV_OC43/Yamagata.JPN/05.2015_0233	seasonal_corona	LC506882	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/02.2009_0058	seasonal_corona	LC506755	2009-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/10.15_0600	seasonal_corona	LC331076	2015-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2014_0225	seasonal_corona	LC506825	2014-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2014_0297	seasonal_corona	LC506828	2014-02-XX	?	japan
HCoV_OC43/Seattle/USA/SC2924/2015	seasonal_corona	KY967356	2015-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/07.2015_0368	seasonal_corona	LC506902	2015-02-XX	?	japan
HCoV_OC43/Seattle/USA/SC0839/2019	seasonal_corona	MN306042	2019-XX-XX	?	usa
OC43	seasonal_corona	MF996651	2010-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/08.2014_0432	seasonal_corona	LC506834	2014-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/20.2010_1337	seasonal_corona	LC506769	2010-05-XX	?	japan
OC43/SLO/61010/2015	seasonal_corona	KX059645	2015-12-28	?	slovenia
OC43/human/USA/007_11/2000	seasonal_corona	KF530068	2000-07-27	?	usa
HCoV_OC43/Yamagata.JPN/10.2017_0491	seasonal_corona	LC506951	2017-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/03.2015_0136	seasonal_corona	LC506855	2015-01-XX	?	japan
OC43/human/USA/912_11/1991	seasonal_corona	KF530082	1991-02-07	?	usa
HCoV_OC43/Yamagata.JPN/05.2015_0224	seasonal_corona	LC506876	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2015_0140	seasonal_corona	LC506857	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/11.15_0615	seasonal_corona	LC331078	2015-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/13.2012_0719	seasonal_corona	LC506808	2012-03-XX	?	japan
OC43/SLO/62066/2016	seasonal_corona	KX059649	2016-01-20	?	slovenia
HCoV_OC43/Yamagata.JPN/02.15_0076	seasonal_corona	LC331069	2015-01-XX	?	japan
OC43/SLO/39849/2013	seasonal_corona	KX059635	2013-12-13	?	slovenia
HCoV_OC43/Yamagata.JPN/09.2017_0478	seasonal_corona	LC506933	2017-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/14.2011_0897	seasonal_corona	LC506794	2011-04-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2012_0168	seasonal_corona	LC506801	2012-01-XX	?	japan
HCoV_OC43/Seattle/USA/SC622/2016	seasonal_corona	KY369906	2016-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/08.2015_0486	seasonal_corona	LC506912	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2013_0300	seasonal_corona	LC506816	2013-01-XX	?	japan
OC43/SLO/45283/2014	seasonal_corona	KX059661	2014-05-23	?	slovenia
HCoV_OC43/Yamagata.JPN/47.2010_2547	seasonal_corona	LC506786	2010-11-XX	?	japan
sloOC43_2	seasonal_corona	KF668030	2011-02-20	?	slovenia
HCoV_OC43/Yamagata.JPN/09.2009_0623	seasonal_corona	LC506763	2009-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/19.2015_0902	seasonal_corona	LC506916	2015-05-XX	?	japan
OC43/human/USA/952_23/1995	seasonal_corona	KF530062	1995-02-13	?	usa
