strain	virus	assention	date	region	country
HCoV_OC43/Yamagata.JPN/46.2012_2185	seasonal_corona	LC506810	2012-11-XX	?	japan
OC43/human/USA/008_5/2000	seasonal_corona	KF530092	2000-08-08	?	usa
HCoV_OC43/Yamagata.JPN/20.2017_1370	seasonal_corona	LC506944	2017-05-XX	?	japan
OC43/human/USA/965_6/1996	seasonal_corona	KF530098	1996-05-10	?	usa
HCoV_OC43/Seattle/USA/SC9430/2018	seasonal_corona	MN306053	2019-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/06.2015_0290	seasonal_corona	LC506891	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0225	seasonal_corona	LC506877	2015-01-XX	?	japan
HCoV_OC43/USA/ACRI_0213/2016	seasonal_corona	MH121121	2016-12-19	?	usa
HCoV_OC43/Yamagata.JPN/06.2014_0296	seasonal_corona	LC506827	2014-02-XX	?	japan
HCoV_OC43/USA/TCNP_00212/2017	seasonal_corona	MF374985	2017-01-17	?	usa
HCoV_OC43/Yamagata.JPN/04.2015_0147	seasonal_corona	LC506860	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2015_0425	seasonal_corona	LC506909	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/11.2015_0604	seasonal_corona	LC506914	2015-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/24.16_1005	seasonal_corona	LC331084	2016-06-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2017_0300	seasonal_corona	LC506920	2017-02-XX	?	japan
OC43/human/USA/901_41/1990	seasonal_corona	KF530065	1990-01-17	?	usa
HCoV_OC43/Yamagata.JPN/06.15_0350	seasonal_corona	LC331075	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/46.2010_2512	seasonal_corona	LC506783	2010-11-XX	?	japan
HCoV_OC43/Seattle/USA/SC2269/2016	seasonal_corona	KY684759	2016-XX-XX	?	usa
OC43/SLO/62794/2016	seasonal_corona	KX059650	2016-02-05	?	slovenia
HCoV_OC43/Yamagata.JPN/05.2015_0284	seasonal_corona	LC506888	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/02.15_0022	seasonal_corona	LC331068	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/13.2015_0693	seasonal_corona	LC506915	2015-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/11.2009_0842	seasonal_corona	LC506766	2009-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2015_0297	seasonal_corona	LC506894	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2012_0371	seasonal_corona	LC506806	2012-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/08.2015_0433	seasonal_corona	LC506910	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0229	seasonal_corona	LC506879	2015-01-XX	?	japan
OC43/human/USA/951_15/1995	seasonal_corona	KF530059	1995-01-11	?	usa
HCoV_OC43/Yamagata.JPN/06.2012_0291	seasonal_corona	LC506804	2012-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/49.2012_2416	seasonal_corona	LC506811	2012-12-XX	?	japan
HCoV_OC43/Yamagata.JPN/09.2017_0411	seasonal_corona	LC506932	2017-02-XX	?	japan
HCoV_OC43/FRA_EPI/Caen/2011/13	seasonal_corona	KF963242	2011-11-20	?	france
HCoV_OC43/Yamagata.JPN/04.2015_0137	seasonal_corona	LC506856	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2015_0285	seasonal_corona	LC506950	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2015_0152	seasonal_corona	LC506862	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/16.2017_1199	seasonal_corona	LC506943	2017-04-XX	?	japan
HCoV_OC43/Yamagata.JPN/11.2013_0666	seasonal_corona	LC506823	2013-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/08.2015_0434	seasonal_corona	LC506911	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2013_0289	seasonal_corona	LC506815	2013-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/05.2012_0283	seasonal_corona	LC506803	2012-02-XX	?	japan
OC43/human/USA/873_16/1987	seasonal_corona	KF530077	1987-03-12	?	usa
HCoV_OC43/Yamagata.JPN/05.2015_0215	seasonal_corona	LC506871	2015-01-XX	?	japan
OC43/SLO/41313/2014	seasonal_corona	KX059655	2014-01-29	?	slovenia
HCoV_OC43/Yamagata.JPN/05.2009_0292	seasonal_corona	LC506758	2009-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/11.2009_0765	seasonal_corona	LC506765	2009-03-XX	?	japan
HCoV_OC43/Yamagata.JPN/21.2010_1394	seasonal_corona	LC506771	2010-05-XX	?	japan
HCoV_OC43/Yamagata.JPN/38.2010_2108	seasonal_corona	LC506772	2010-09-XX	?	japan
HCoV_OC43/Yamagata.JPN/26.2017_1566	seasonal_corona	LC506945	2017-06-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2014_0446	seasonal_corona	LC506838	2014-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/52.2014_2419	seasonal_corona	LC506843	2014-12-XX	?	japan
HCoV_OC43/Yamagata.JPN/24.16_1008	seasonal_corona	LC331086	2016-06-XX	?	japan
HCoV_OC43/Yamagata.JPN/43.2010_2384	seasonal_corona	LC506776	2010-10-XX	?	japan
HCoV_OC43/Yamagata.JPN/04.2015_0209	seasonal_corona	LC506867	2015-01-XX	?	japan
HCoV_OC43/Yamagata.JPN/45.2010_2465	seasonal_corona	LC506780	2010-11-XX	?	japan
OC43/SLO/59988/2015	seasonal_corona	KX059642	2015-11-16	?	slovenia
HCoV_OC43/Yamagata.JPN/13.2011_0825	seasonal_corona	LC506791	2011-03-XX	?	japan
HCoV_OC43/Seattle/USA/SC2345/2015	seasonal_corona	KY967361	2015-XX-XX	?	usa
HCoV_OC43/Yamagata.JPN/08.2017_0364	seasonal_corona	LC506928	2017-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2015_0418	seasonal_corona	LC506907	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/14.2011_0874	seasonal_corona	LC506793	2011-04-XX	?	japan
OC43/human/USA/911_38/1991	seasonal_corona	KF530096	1991-01-15	?	usa
HCoV_OC43/Yamagata.JPN/20.16_0914	seasonal_corona	LC331081	2016-05-XX	?	japan
HCoV_OC43/Yamagata.JPN/22.2011_1255	seasonal_corona	LC506799	2011-06-XX	?	japan
OC43/SLO/46580/2014	seasonal_corona	KX059641	2014-08-14	?	slovenia
HCoV_OC43/Yamagata.JPN/26.16_1049	seasonal_corona	LC331088	2016-06-XX	?	japan
HCoV_OC43/Yamagata.JPN/06.2015_0300	seasonal_corona	LC506895	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/08.2009_0554	seasonal_corona	LC506762	2009-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2015_0361	seasonal_corona	LC506901	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/51.2017_2652	seasonal_corona	LC506949	2017-12-XX	?	japan
OC43/human/USA/9212_33/1992	seasonal_corona	KF530074	1992-12-16	?	usa
HCoV_OC43/Yamagata.JPN/16.2011_0969	seasonal_corona	LC506795	2011-04-XX	?	japan
OC43/human/USA/991_19/1999	seasonal_corona	KF530070	1999-01-15	?	usa
HCoV_OC43/Yamagata.JPN/07.2015_0353	seasonal_corona	LC506899	2015-02-XX	?	japan
HCoV_OC43/Yamagata.JPN/07.2017_0362	seasonal_corona	LC506927	2017-02-XX	?	japan
