strain	virus	assention	date	region	country
KSA-CAMEL-363	mers	KJ713298	2013-11-XX	west_asia	saudi_arabia
Al-Hasa_4_2013	mers	KF186564	2013-05-01	west_asia	saudi_arabia
Hu/Jeddah-KSA-161RS1146/2016	mers	KX154690	2016-01-XX	west_asia	saudi_arabia
camel/UAE_B104_2015	mers	MF598691	2015-03-XX	west_asia	united_arab_emirates
Riyadh_6d_2013	mers	KJ156908	2013-07-02	west_asia	saudi_arabia
Hu/Kharj-KSA-2599/2015	mers	KT806052	2015-02-02	west_asia	saudi_arabia
KOREA/Seoul/035-1-2015	mers	KT374054	2015-06-03	japan_korea	south_korea
camel/UAE_B5_2015	mers	MF598597	2015-03-XX	west_asia	united_arab_emirates
Hu/Tabuk-KSA-153/2018	mers	MK462252	2018-08-03	west_asia	saudi_arabia
Hu/Hufuf-KSA-12225/2015	mers	KT806038	2015-06-04	west_asia	saudi_arabia
Hu/Jeddah-KSA-173RS1570/2017	mers	MK462246	2017-08-17	west_asia	saudi_arabia
camel/UAE_B19_2015	mers	MF598611	2015-03-XX	west_asia	united_arab_emirates
camel/Jeddah/Jd1(b)/2015	mers	KT368858	2015-01-XX	west_asia	saudi_arabia
camel/UAE_B15_2015	mers	MF598607	2015-03-XX	west_asia	united_arab_emirates
Hu/Riyadh-KSA-3487/2015	mers	KT805980	2015-02-21	west_asia	saudi_arabia
D383/15	mers	KX108941	2015-02-14	west_asia	united_arab_emirates
MERS-CoV/KOR/Seoul/177-3-2015	mers	KX034100	2015-07-03	japan_korea	south_korea
Riyadh_378/KSA/2014	mers	KT357794	2014-XX-XX	west_asia	saudi_arabia
Camel/UAE/D1243.12/2014	mers	KP719932	2014-06-XX	west_asia	united_arab_emirates
Hu/Hufuf-KSA-11401/2015	mers	KT806024	2015-05-20	west_asia	saudi_arabia
Asir_2g_2013	mers	KJ156932	2013-08-05	west_asia	saudi_arabia
Hu/Oman_2285_2013	mers	KT156560	2013-10-28	west_asia	oman
Hu/Riyadh-KSA-036D1N/2016	mers	MG757605	2016-04-14	west_asia	saudi_arabia
Hu/Riyadh-KSA-2622A/2015	mers	KT805965	2015-02-03	west_asia	saudi_arabia
camel/UAE_B70_2015	mers	MF598660	2015-03-XX	west_asia	united_arab_emirates
Hu/Taif,KSA-1445/2014	mers	KR912194	2014-10-27	west_asia	saudi_arabia
camel/Jeddah/D38(b)/2014	mers	KT368833	2014-12-XX	west_asia	saudi_arabia
KSA_459	mers	KJ396768	2013-11-XX	west_asia	saudi_arabia
Hu/Amman-Jordan-12716/2015	mers	MF000460	2015-08-30	west_asia	jordan
UAE-11-2014	mers	KP202197	2014-XX-XX	west_asia	united_arab_emirates
KSA-CAMEL-503	mers	KJ713297	2013-11-XX	west_asia	saudi_arabia
KSA-CAMEL-505	mers	KJ713295	2013-11-XX	west_asia	saudi_arabia
MERS-Cov/Riyadh-KSA/NGHA__KAMC_2016	mers	KY689142	2016-01-XX	west_asia	saudi_arabia
C57BL/6	mers	NM_001173550	?	?	?
MERSCoV/donkey/Egypt/2213/2015	mers	MF318497	2015-11-11	africa	egypt
UT-IVO-Mers4	mers	MK905765	2014-11-08	west_asia	iran
UT-IVO-Mers5	mers	MK905764	2014-11-08	west_asia	iran
MERS-CoV/KOR/Seoul/050-1-2015	mers	KX034094	2015-06-11	japan_korea	south_korea
Camel/Saudi_Arabia/KFU-HKU_F2-3/2014	mers	KY706245	2014-11-29	west_asia	saudi_arabia
MERS-CoV/KOR/KNIH/007_05_2015	mers	KT001388	2015-05-27	japan_korea	south_korea
UT-IVO-Mers1	mers	MK905768	2014-11-08	west_asia	iran
Al-Hasa_19_2013	mers	KF600632	2013-05-23	west_asia	saudi_arabia
