strain	virus	assention	date	region	country
V10630	seasonal_corona	FJ656136	2004-02-XX	?	sweden
KNHI_2K72143	seasonal_corona	JN234485	2007-02-XX	?	south_korea
LZ431	seasonal_corona	FJ937649	?	?	china
KNIH_2K80535	seasonal_corona	JN234458	2008-01-XX	?	south_korea
BRA104	seasonal_corona	GU904427	1995-07-24	?	brazil
PUMCH2833	seasonal_corona	HM130740	2006-07-19	?	china
LZ42	seasonal_corona	FJ937642	?	?	china
LZ112	seasonal_corona	FJ937643	?	?	china
PUMCH2446	seasonal_corona	HM130739	2006-05-27	?	china
12MYKL0624	seasonal_corona	KR055538	2012-XX-XX	?	malaysia
HKU1/SLO/63673/2016	seasonal_corona	KX059688	2016-02-20	?	slovenia
PHL07_1518	seasonal_corona	AB514459	2007-XX-XX	?	philippines
HCOV/KENYA/008/2009	seasonal_corona	KP112152	2014-07-01	?	kenya
KNIH_2K71415	seasonal_corona	JN234454	2007-01-XX	?	south_korea
12MYKL0737	seasonal_corona	KR055539	2012-XX-XX	?	malaysia
KNHI_2K70198	seasonal_corona	JN234479	2007-01-XX	?	south_korea
KNHI_2K72142	seasonal_corona	JN234484	2007-02-XX	?	south_korea
V110050	seasonal_corona	FJ656151	2006-01-XX	?	sweden
HKU1/SLO/60770/2015	seasonal_corona	KX059663	2015-12-17	?	slovenia
HKU1/SLO/62637/2016	seasonal_corona	KX059687	2016-02-02	?	slovenia
HKU1/human/USA/HKU1_14/2009	seasonal_corona	KF430199	2009-12-28	?	usa
HKU1/SLO/63615/2016	seasonal_corona	KX059690	2016-02-20	?	slovenia
HKU1/human/USA/HKU1_10/2010	seasonal_corona	KF686341	2010-01-16	?	usa
12MYKL0529	seasonal_corona	KR055537	2012-XX-XX	?	malaysia
KNIH_2K70196	seasonal_corona	JN234449	2007-01-XX	?	south_korea
KNHI_2K71388	seasonal_corona	JN234481	2007-01-XX	?	south_korea
LZ394	seasonal_corona	FJ937648	?	?	china
BJET5	seasonal_corona	KP113662	2010-09-XX	?	china
HKU1/SLO/39995/2013	seasonal_corona	KX059693	2013-12-20	?	slovenia
HKU1/SLO/40019/2013	seasonal_corona	KX059695	2013-12-20	?	slovenia
HKU1/SLO/61833/2016	seasonal_corona	KX059682	2016-01-15	?	slovenia
KNIH_2K71411	seasonal_corona	JN234453	2007-01-XX	?	south_korea
V10650	seasonal_corona	FJ656141	2004-02-XX	?	sweden
LZ451	seasonal_corona	FJ937658	?	?	china
hCoV/HKU1/VFC361/BRA/2007	seasonal_corona	JN251798	2007-XX-XX	?	brazil
V10613	seasonal_corona	FJ656134	2004-01-XX	?	sweden
LZ450	seasonal_corona	FJ937657	?	?	china
HKU1/human/USA/HKU1_18/2010	seasonal_corona	KF430201	2010-01-22	?	usa
12MYKL1058	seasonal_corona	KR055544	2012-XX-XX	?	malaysia
PUMCH3340	seasonal_corona	HM130743	2006-09-01	?	china
12MYKL1217	seasonal_corona	KR055550	2012-XX-XX	?	malaysia
V37107	seasonal_corona	FJ656145	2006-02-XX	?	sweden
PUMCH570	seasonal_corona	HM130737	2005-09-06	?	china
BJ297	seasonal_corona	KM676087	2014-05-XX	?	china
KNHI_2K72583	seasonal_corona	JN234486	2007-02-XX	?	south_korea
HKU1/human/USA/HKU1_5/2009	seasonal_corona	KF686340	2009-11-28	?	usa
HKU1/SLO/40216/2013	seasonal_corona	KX059696	2013-12-31	?	slovenia
V10619	seasonal_corona	FJ656135	2004-02-XX	?	sweden
V37068	seasonal_corona	FJ656144	2006-01-XX	?	sweden
LZ442	seasonal_corona	FJ937653	?	?	china
KNIH_2K85187	seasonal_corona	JN234462	2008-04-XX	?	south_korea
N09_1605B	seasonal_corona	KY674943	2016-XX-XX	?	usa
SH_1	seasonal_corona	KC294427	2012-XX-XX	?	china
12MYKL1132	seasonal_corona	KR055547	2012-XX-XX	?	malaysia
PUMCH6818	seasonal_corona	HM130748	2008-06-04	?	china
KNHI_2K70196	seasonal_corona	JN234478	2007-01-XX	?	south_korea
BRA09	seasonal_corona	GU904423	1995-03-15	?	brazil
HKU1/human/USA/HKU1_3/2009	seasonal_corona	KF686339	2009-10-31	?	usa
HKU1/SLO/42284/2014	seasonal_corona	KX059670	2014-02-18	?	slovenia
hCoV/HKU1/VFC13/BRA/2006	seasonal_corona	JN251785	2006-XX-XX	?	brazil
13MYKL1898	seasonal_corona	KR055552	2013-XX-XX	?	malaysia
HCOV/KENYA/001/2010	seasonal_corona	KP112150	2014-07-01	?	kenya
N09_1627B	seasonal_corona	KY674942	2016-XX-XX	?	usa
HKU1/SLO/62197/2016	seasonal_corona	KX059689	2016-01-23	?	slovenia
HKU1/SLO/60668/2015	seasonal_corona	KX059677	2015-12-13	?	slovenia
